sentence_id,text
117,感謝しなきゃだよね。
118,そうなのに不満足とか言って言ってごめんね。
119,そう、なんかUゆ、あの、ワンピースで言うゆギア5ぐらいになれると思うんだ。
120,すごくね、面白いインタビュー記事になってると思うので、独会の練習に使いたいよという方は是非ぜひその記事読んでみてください。
121,そしてYouTubeもやってます。
122,え、YouTubeね、え、昨日かなクリスマスの歴史っていうことでこな間だ撮ったポッドキャストのもっと簡単にまとめたバージョンをアップロードしています。
123,まあね、このポッドキャストを撮ったきっかけっていうのはもちろんその皆さんにね、真金感を持ってもらいたい。
124,はい、皆さんこんにちは。
125,僕もダメなとこあるんだよ。
126,いや、僕はそんなに大した人間じゃないんだ。
127,ま、そんなね、ラブ&amp;ピースなポッドキャストを撮っていきたいと思います。
128,もう今日は肩の力を抜いてもうシャツ着てないですからね。
129,やっぱりさ、道を歩いていて、道を歩く人をバッて見てね、目が合うと気まずいじゃん。
130,結局俺すごいよって話になってないこれ。
131,えっと、そうなんです。
132,でもそういう人見ちゃうと絡まれたりするので、ま、そういうのは怖いから気をつけなきゃいけないんですけども、見ちゃう、見ちゃうんですね。
133,で、池袋始発なので、まあ、10分くらいその場でドアが開きっぱなしで乗る人が乗ってきて、で、時間になったら出発するとで僕待ってた。
134,どうでしょう皆さん?
135,ちゃんと選択した服を着てる。
136,もちろん一緒に住んでいるんですけども、いつもはーって言いながら洗濯機を洗濯機にその脱いだ服を入れてくれます。
137,僕の服透明になるんですもん。
138,めっちゃネガティブになるから。
139,ま、ということで空腹に弱い。
140,そうで夕方夜まで目をパっちりパッチリ頭ガンガン回してお仕事するのが大好きです。
141,なんだけども昼寝しないとダメだったんですよ。
142,っていう風に1日昼寝しないで仕事して夜早く寝ればいいじゃん。
143,裕介、お前働いてる途中で15分とか昼寝してくるって。
144,眠気には弱いんですよ。
145,そう、結構考えてるんですよ。
146,そう、そうなんですけども、ま、中にはね、うん、その話もう聞いたんだけどっていう話を聞かなきゃいけない時も人生あるじゃないですか。
147,ギターをやってた頃こともあるかな?
148,あの、趣味は非常に続けられない。
149,今のiPhoneってすごいバッテリー持つんでしょね。
150,で、僕が、まあ、1人6本くらい飲むみたいに。
151,で、明日月曜日ですけど大丈夫ですか、り太君に聞かれて、うん、全然オッケーって言って。
152,あれをペリペリペリペリって剥がして。
153,あの、そんなにあの、犯罪者とかっていう意味ではないと思うんですよ。
154,ちゃんともう意識ははっきりしてたからもういいかなっていう風にで、ま、おかげ様でね、今はそんなにお金に困っていないので、ま、そういうことができるんですけど、それはお金がない時もそうだったんですよね。
155,気持ちで動かないっていう、あ、こうやった方がいいなっていう風に考えて動くけど、相手の気持ちを考えないっていう風によく言われるんですね。
156,どんなに稼いでもどんなに貧乏でもお金持ちになれない。
157,そしてなんならあのニディアさんにはあの、なんて言うの?
158,そうていうのでお、あのお酒の席ではバンなんかまとまってもやり取りするの好きなんですよね。
159,えー、気持ちは分かるけど共感できない。
160,あ、どうだったかな?
161,皆さんね、ここまで僕のダメなところまた言ってくね。
162,そして考えすぎちゃうね。
163,ダメな自分との付き合い方って大事ですよね。
164,え、集中できないとか冷めやすい。
165,細かいあのファイルの名前とかを気をつけるようになってきた。
166,お腹空いてるのとか眠いと動けなくなっちゃう自分は正直可愛いなって思う。
167,そう、ま、体壊しちゃったら嫌だから、もちろんね、うまく長くお酒と楽しんで付き合っていきたいなとは思いますけども、そう、帰るつもりはない。
168,で、次、えっと、お酒。
169,で、次ですけども、気持ちは分かるけどでって共感できない部分はどっちも変えたいって思う時もあるし、ま、そんな自分可愛いじゃんって思う時もある。
170,もうこの人がいるから僕はなんとかやっていけてるなって思うし。
171,もういいやで終わってしまう。
172,今言った8つのダメなところを全て知っている人。
173,絶対結婚はしないし、絶対付き合わない。
174,結局なんかあの説教正しい話になって終わっちゃう。
175,え、このポッドキャストのスクリプトを文字で読んでみたい方、え、音読の練習、単語の練習に使ってみたい方、是非ぜひサポートよろしくお願いします。
176, それが僕の反省点です。
177,なんとね、これから日本には、花粉症の季節がやってきます。
178,症状は、くしゃみ、鼻水、鼻づまり、目のかゆみなどがあります。
179,最高気温が、15度とかだよね、東京って。
180,いや、せっかく冬が終わったのに、花粉症の時期が、来ちゃうんだよ。
181,本当にひどい話だよね。
182,もう本当にひどい言葉だよね。
183,一番最後の戦争が1945年でした。
