sentence_id,text
0,大きく言うとこの2点です。
1,あ、買ったものもダメなの?
2,これコンビニじゃない?
3,ごがコンビニ[笑い]ああ、量めっちゃ入ってる。
4,これもヒカルにやられたとか言ってますけども、僕の注意不足でございました。
5,それはどっちかというと、あの家族家の話と言いますか。
6,本当ご迷惑をしました。
7,だっていきなりその出てたやつはどこで買ってきたかも言ってないし俺ら。
8,はい、という感じでした。
9,そんな形で僕のコンビニ禁止生活は心配に終わりましたが、これ幸いにもコンビニ禁止失敗したのが2025年の1月なんですよ。
10,買ったばかりなのに残念ね。
11,ルード、またゴミ拾いに行ってたでしょう。
12,町の人たちはゴミの管理にすっごく厳しいんだよ。
13,レグとは捨てられた赤坊の俺を拾って育ててくれた。
14,[音楽]もらった時からボロボロだったけど自然と激痛は柔いだ。
15,レグには返しきれない恩がある。
16,ああ、やすらいいものじゃないでしょう。
17,ここからの景色々と。
18,[音楽]あ、レグに教えてやらねえとな。
19,どんな反応すんのか楽しみだ。
20,このクソみたいな世界をお前が変えてくれよ。
21,そんなそんなルドがゴミ場を荒らし町を怪我しただけでは飽きたらず人を謝めるという最も汚れた行為に及んだ。
22,たえその相手が俗民であろうと殺人を犯したものを1秒でもこの地にとめることは決して許されん。
23,なんかクリスマスとかにありそうな木ですね。
24,　こういうのは流石に知ってます。
25,まぁまぁこういうのは知ってます。
26,でも、ここ積もってないよね。
27,キャンキャン泣くんだけどキャンキャン泣くんだけどうわぁ、何も出らんし。
28,可愛そうにうわー凄い。
29,現実じゃなくてね現実じゃなくてねいや、俺はやっぱりワンピースを見ているから空島が良いよね。
30,マジかえ、ゴットエネルが嫌だったってこと？
31,え、えーやばくない？
32,逆に羊いつ、いつのまにいつ、いつのまにあ、今灰色、薄灰色の羊毛をゲットしましたあ、今灰色、薄灰色の羊毛をゲットしましたいるだろう。
33,あっありがとうございます。
34,ふぅーんってなんか、何？
35,初日はねやばい、ゾンビだ。
36,松明を作るには松明を作るには木の棒とこの石炭で松明を作ることができるのであとで作りますちょっとここ暗いからね。
37,ちょっと採掘をします。
38,まぁ火打石だからねまぁ火打石だからねそれを作ることができる。
39,火打石は何に使うの？
40,火打石をゲットしました。
41,鉄もあるんで鉄もあるんでかまど。
42,危ない危ないベットはこれで作れますベットを作ることで寝たらゾンビに出会うことなく、夜を過ごすことができるということですよね？
43,じゃあ羊の肉と鶏肉をあげまーすえ、これ。
44,まぁこんな感じでまぁゆったりした感じでハードコアを進めていけたら良いなというふうに思っています。
45,はい、あと僕たちオンラインレッスンの方をしてるのでもし興味がある方は僕たちと一緒に日本語を勉強しましょう。
46,今日本冬なんですよ。
47,人間やエルフ、ドワーフといった光の神々の加護を受けた種族、人族。
48,数は少ないが、ここの能力は人族をはるかに上回る闇に祝福された種族、魔族。
49,宝玉の魔力を解放するしか手はなさそうだな。
50,使い手が命をすなら突き合わざる舞いよ。
51,[音楽][音楽]そうか。
52,こいつが原因ってことか。
53,地面に頭を擦すりつけて頼めば相変わらず目的のためなら何でもやるやつさて、これからどうするか。
54,実は魔法について聞きたいことがあってさ。
55,[音楽]1人じゃ1000年かけたって無理ね。
56,全くすっごく寂しかったんだから。
57,お、でもカイルちゃん、今日はいつもより大人っぽくて、まるで未来から来たみたい。
58,反省はしてるみたいね。
59,俺の有利な点はこれだ。
60,私の髪の毛に姫カット入りました。
61,タイトル通り、初めてPOP MARTでお買い物をしたので、お買い物をしたものを開けてみよう！
62,ちょっとモナちゃん？
63,結構気に入ってるんだけど、どうだろう。
64,それか免税のために、日本でわざわざ買うのか分からないんだけど。
65,推しキャラがいるっていう話をして、すごい盛り上がって、私だけなんか全然わからない、みたいな感じだったのね。
66,だって自分の国にあるじゃん。
67,転売ヤーは許しません！
68,今回ね、2つボックスがあって、SKULLPANDA～！
69,「私ってすごくかわいい。
70,ちょっとよくわかりませんけれども。
71,これ読み方も合ってんのかって話なんだけど。
72,ちょっと英語わかんないんだけど。
73,まずこの黒い、ちょっとSKULLPANDAちゃんオープン、私が欲しいのは、これ、でぃすぐいす？
74,これが入ってるわけじゃないよね。
75,これが入ってるのかな。
76,時計の……んー、なんだ。
77,その時もね、SKULLPANDAちゃんがいたんだよね。
78,でもその時、買わなかったんだよね。
79,かわいいな、と思って。
80,なんか特にレアじゃない。
81,皆さんおはようございます。
82,皆さんは今目標や新たに挑戦したいことってありますか?
83,今日はそんな僕の経験をもに皆さんが前に進むきっかけになる僕の大好きな3つの心構えを紹介するね。
84,日本語の学習も同じだと思うんだよね。
85,だから準備ができたらっていう言葉を使うのはもうやめて、まずはえいと飛び込んでみて欲しいな。
86,みんな僕のことが大切だからこそ言ってくれたんだと思う。
87,お金がなくなって生活できなくなったらどうしようって不安だった。
88,これこそが挑戦しないリスクなんだよね。
89,準備ができる前に挑戦する。
90,ああ、またね、半年叶えちゃった後にわけわかんなくなっちゃう。
91,ま、このポドキャストを聞いてくれている人は結構N1合格した人多いんじゃないかな。
92,ちゃんと自分の心とか情報を整理する。
93,で、ま、日本に関してもそうで一応フリーランスになってから1つの目標として半年日本で生活してで、半年メキシコで生活するっていうのを目標に掲げていてね。
94,ま、死んでいくものだと思う。
95,旅行するのも楽しかった。
